Filename,Compliance %,Compliant Rules,Total Violations,High Severity,Medium Severity,Low Severity,Status
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,76.5%,13,4,2,1,1,⚠️ Non-Compliant
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,88.2%,15,2,1,1,0,⚠️ Non-Compliant
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,58.8%,10,7,3,3,1,⚠️ Non-Compliant
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,82.4%,14,3,2,0,1,⚠️ Non-Compliant
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,64.7%,11,6,2,3,1,⚠️ Non-Compliant
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,58.8%,10,7,2,3,2,⚠️ Non-Compliant
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,76.5%,13,4,2,0,2,⚠️ Non-Compliant
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,58.8%,10,7,4,3,0,⚠️ Non-Compliant
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,82.4%,14,3,1,1,1,⚠️ Non-Compliant
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,88.2%,15,2,1,1,0,⚠️ Non-Compliant
